Cathegorie,Product ID,Product Name,Product Type,Additional service ,Regions,Where,Video/Photos,duration,Number of peoples,Unit price ,Sales,Views,Quantity,Sales Last Year,Views Last Year,Quantity Last Year,Grow sales
Helicopter,1354011,Survol découverte du fort Boyard en hélicoptère pour 2 depuis l'île d'Oléron,Survol découverte,depuis l'île d'Oléron,Nouvelle-Aquitaine,Fort Boyard / Fort Boyard,,,2,"159,90"," €  373,10 ",  89 ,  2 ," €  1 865,50 ",  837 ,  12 ,"-80,00%"
Helicopter,1462149,Découverte du fort Boyard en hélicoptère pour 1 amateur de vol,Découverte (lieu),,Nouvelle-Aquitaine,Fort Boyard,,,1,"89,90"," €  419,53 ",  140 ,  5 ," €  2 022,75 ",  891 ,  23 ,"-79,26%"
Helicopter,1474226,Survol magique du bassin d'Arcachon en hélicoptère à vivre en duo,Survol magique,,Nouvelle-Aquitaine,Arcachon,,,2,"159,90"," €  1 119,30 ",  543 ,  7 ," €  3 331,25 ",  1 200 ,  21 ,"-66,40%"
Helicopter,1474238,Survol du mont Blanc en hélicoptère pendant 30 minutes depuis Megève,Survol (lieu),Depuis Megève,Auvergne-Rhône-Alpes,Mont-Blanc,,30,1,"219,90"," €  8 466,15 ",  1 111 ,  39 ," €  22 356,50 ",  2 454 ,  102 ,"-62,13%"
Helicopter,1474219,30 minutes de survol du mont Blanc en hélicoptère pour 2,(Durée) de survol,,Auvergne-Rhône-Alpes,Mont-Blanc,,30,2,"399,90"," €  9 331,00 ",  537 ,  23 ," €  21 994,50 ",  1 071 ,  55 ,"-57,58%"
Helicopter,1456442,Balade aérienne privée pour découvrir à 2 les châteaux de la région parisienne,Balade aérienne,privé,Paris & Île-de-France,Châteaux région parisienne,,,2,"184,90"," €  431,43 ",  153 ,  2 ," €  924,50 ",  177 ,  5 ,"-53,33%"
Helicopter,1366280,Vol en hélicoptère et massage avec détente au spa pour un duo,Vol en ,Massage,Offre box France Entière,France entière,,,2,"799,80"," €  933,10 ",  255 ,  1 ," €  1 999,50 ",  345 ,  3 ,"-53,33%"
Helicopter,1474225,Survol en hélicoptère autour du bassin d’Arcachon pour 2,Survol en,,Nouvelle-Aquitaine,bassin d’Arcachon,,,2,"399,90"," €  1 866,20 ",  128 ,  5 ," €  3 665,75 ",  266 ,  9 ,"-49,09%"
Helicopter,1474227,Survol magique en hélicoptère du bassin d’Arcachon,Survol magique,,Nouvelle-Aquitaine,bassin d’Arcachon,,,,"264,90"," €  3 090,50 ",  341 ,  12 ," €  5 518,75 ",  891 ,  21 ,"-44,00%"
Helicopter,1405035,Vol en hélicoptère de 30 min au-dessus du fort Boyard et de l'île d'Oléron,Vol en ,,Nouvelle-Aquitaine,fort Boyard / l'île d'Oléron,,30,,"399,90"," €  466,55 ",  29 ,  1 ," €  666,50 ",  341 ,  2 ,"-30,00%"
Helicopter,1474224,Survol exceptionnel du mont Blanc en hélicoptère pour 2,Survol exceptionnel,,Auvergne-Rhône-Alpes,Mont-Blanc,,30,2,"399,90"," €  3 265,85 ",  637 ,  8 ," €  3 999,00 ",  1 044 ,  10 ,"-18,33%"
Helicopter,1474228,Initiation au pilotage d'un hélicoptère autour de Grenoble,Initiation,,Auvergne-Rhône-Alpes,Grenoble,,,,"279,90"," €  979,65 ",  168 ,  4 ," €  1 166,25 ",  230 ,  4 ,"-16,00%"
Helicopter,1456445,Balade aérienne privée des plages du débarquement,Balade aérienne,privé,Normandie,plages du débarquement,,,,"149,90"," €  3 672,55 ",  645 ,  25 ," €  4 247,17 ",  703 ,  28 ,"-13,53%"
Helicopter,1474240,Vol magique en hélicoptère autour du château de Versailles et des Yvelines,Vol magique ,,Paris & Île-de-France,château de Versailles/Yvelines,,,,"219,90"," €  1 282,75 ",  312 ,  6 ," €  1 466,00 ",  749 ,  7 ,"-12,50%"
Helicopter,1474234,Survol découverte en hélicoptère du bassin d'Arcachon,Survol découverte,,Nouvelle-Aquitaine,Arcachon,,,,"89,90"," €  943,95 ",  1 156 ,  11 ," €  1 048,83 ",  1 129 ,  12 ,"-10,00%"
Helicopter,1342606,Vol de 25 min en hélicoptère pour découvrir à 2 Amboise et les châteaux de la Loire,Vol découverte hélicoptère ,,Centre-Val-De-Loire,Amboise et les châteaux de la Loire,,25,2,"357,90"," €  835,10 ",  117 ,  2 ," €  894,75 ",  154 ,  3 ,"-6,67%"
Helicopter,1366216,Vol en hélicoptère et atelier œnologie en duo,Vol en ,vin,Offre box France Entière,France entière,,,2,"699,80"," €  1 632,87 ",  150 ,  2 ," €  1 749,50 ",  167 ,  3 ,"-6,67%"
Helicopter,1462150,Vol découverte en hélicoptère vers le fort Boyard et le phare de Chassiron,Vol découverte,,Nouvelle-Aquitaine,fort Boyard /phare de Chassiron,,,,"144,90"," €  338,10 ",  44 ,  2 ," €  362,25 ",  343 ,  3 ,"-6,67%"
